Program, File, Original Size, Compressed Size, Compression Ratio
RLE compress,bib.dat,108.7 KB,212.4 KB,0.51153542
RLE compress,book1.dat,750.8 KB,1.4 MB,0.511106073
RLE compress,book2.dat,596.5 KB,1.1 MB,0.511078203
RLE compress,cbib.dat,34.4 KB,68.5 KB,0.502080128
RLE compress,cbook1.dat,306.2 KB,609.9 KB,0.502124784
RLE compress,cbook2.dat,201.8 KB,401.8 KB,0.502279598
RLE compress,cdickens.dat,3.7 MB,7.4 MB,0.502017329
RLE compress,cgeo.dat,66.8 KB,133.3 KB,0.501582905
RLE compress,cmozilla.dat,18.2 MB,36.3 MB,0.501918393
RLE compress,cmr.dat,3.5 MB,7.0 MB,0.501722201
RLE compress,cnci.dat,3.1 MB,6.1 MB,0.502347228
RLE compress,cnews.dat,141.4 KB,281.4 KB,0.502480968
RLE compress,cobj1.dat,10.1 KB,20.1 KB,0.502774533
RLE compress,cobj2.dat,79.6 KB,158.6 KB,0.501791298
RLE compress,cooffice.dat,3.0 MB,5.9 MB,0.501957392
RLE compress,cosdb.dat,3.5 MB,7.0 MB,0.501754765
RLE compress,cpaper1.dat,18.1 KB,36.1 KB,0.502299161
RLE compress,cpaper2.dat,29.1 KB,57.9 KB,0.502125076
RLE compress,cpic.dat,55.2 KB,109.9 KB,0.501857183
RLE compress,cprogc.dat,13.0 KB,25.9 KB,0.503088978
RLE compress,cprogl.dat,15.9 KB,31.6 KB,0.502409043
RLE compress,cprogp.dat,11.0 KB,21.9 KB,0.502054672
RLE compress,creymont.dat,1.8 MB,3.5 MB,0.501939643
RLE compress,csamba.dat,5.2 MB,10.3 MB,0.502634689
RLE compress,csao.dat,5.1 MB,10.1 MB,0.501826574
RLE compress,ctrans.dat,18.6 KB,37.0 KB,0.502346057
RLE compress,cwebster.dat,11.6 MB,23.2 MB,0.502017613
RLE compress,cx-ray.dat,5.8 MB,11.5 MB,0.501777558
RLE compress,cxml.dat,671.9 KB,1.3 MB,0.502217612
RLE compress,dickens.dat,9.7 MB,19.0 MB,0.511340045
RLE compress,geo.dat,100.0 KB,191.8 KB,0.521406167
RLE compress,mr.dat,9.5 MB,13.6 MB,0.696775934
RLE compress,news.dat,368.3 KB,690.9 KB,0.533032829
RLE compress,obj1.dat,21.0 KB,33.3 KB,0.630172313
RLE compress,obj2.dat,241.0 KB,455.9 KB,0.528643212
RLE compress,ooffice.dat,5.9 MB,10.5 MB,0.558911646
RLE compress,osdb.dat,9.6 MB,18.1 MB,0.531299729
RLE compress,paper1.dat,51.9 KB,101.4 KB,0.511990523
RLE compress,paper2.dat,80.3 KB,157.6 KB,0.509394792
RLE compress,pic.dat,501.2 KB,149.0 KB,3.363850873
RLE compress,progc.dat,38.7 KB,71.5 KB,0.541385343
RLE compress,progl.dat,70.0 KB,118.1 KB,0.592497643
RLE compress,progp.dat,48.2 KB,81.5 KB,0.591549465
RLE compress,reymont.dat,6.3 MB,12.2 MB,0.517277332
RLE compress,samba.dat,20.6 MB,35.7 MB,0.576847747
RLE compress,sao.dat,6.9 MB,13.7 MB,0.505549727
RLE compress,trans.dat,91.5 KB,166.8 KB,0.548578421
RLE compress,x-ray.dat,8.1 MB,16.1 MB,0.50225969
RLE compress,xml.dat,5.1 MB,9.9 MB,0.514862121
RLE compress,Average, , ,0.579117768
Canonical Huffman,bib.dat,108.7 KB,71.3 KB,1.523705834
Canonical Huffman,book1.dat,750.8 KB,428.4 KB,1.752647994
Canonical Huffman,book2.dat,596.5 KB,359.9 KB,1.657412633
Canonical Huffman,cbib.dat,34.4 KB,34.7 KB,0.992396508
Canonical Huffman,cbook1.dat,306.2 KB,306.6 KB,0.998745175
Canonical Huffman,cbook2.dat,201.8 KB,202.2 KB,0.998343147
Canonical Huffman,cdickens.dat,3.7 MB,3.7 MB,0.999475692
Canonical Huffman,cgeo.dat,66.8 KB,67.0 KB,0.998075156
Canonical Huffman,cmozilla.dat,18.2 MB,18.2 MB,1.000208749
Canonical Huffman,cmr.dat,3.5 MB,3.5 MB,1.000136582
Canonical Huffman,cnci.dat,3.1 MB,3.1 MB,0.999529001
Canonical Huffman,cnews.dat,141.4 KB,141.7 KB,0.997808861
Canonical Huffman,cobj1.dat,10.1 KB,10.3 KB,0.975814832
Canonical Huffman,cobj2.dat,79.6 KB,79.9 KB,0.99652816
Canonical Huffman,cooffice.dat,3.0 MB,3.0 MB,0.999519168
Canonical Huffman,cosdb.dat,3.5 MB,3.5 MB,0.999569895
Canonical Huffman,cpaper1.dat,18.1 KB,18.4 KB,0.985982797
Canonical Huffman,cpaper2.dat,29.1 KB,29.3 KB,0.991045571
Canonical Huffman,cpic.dat,55.2 KB,55.3 KB,0.997051762
Canonical Huffman,cprogc.dat,13.0 KB,13.3 KB,0.980687326
Canonical Huffman,cprogl.dat,15.9 KB,16.1 KB,0.984089534
Canonical Huffman,cprogp.dat,11.0 KB,11.2 KB,0.977391304
Canonical Huffman,creymont.dat,1.8 MB,1.8 MB,0.999460225
Canonical Huffman,csamba.dat,5.2 MB,5.2 MB,0.999512841
Canonical Huffman,csao.dat,5.1 MB,5.1 MB,0.999863292
Canonical Huffman,ctrans.dat,18.6 KB,18.9 KB,0.986336111
Canonical Huffman,cwebster.dat,11.6 MB,11.7 MB,0.999548262
Canonical Huffman,cx-ray.dat,5.8 MB,5.8 MB,1.00016214
Canonical Huffman,cxml.dat,671.9 KB,672.4 KB,0.999179464
Canonical Huffman,dickens.dat,9.7 MB,5.6 MB,1.749421148
Canonical Huffman,geo.dat,100.0 KB,71.1 KB,1.406265021
Canonical Huffman,mr.dat,9.5 MB,4.4 MB,2.156462511
Canonical Huffman,news.dat,368.3 KB,240.9 KB,1.52890498
Canonical Huffman,obj1.dat,21.0 KB,15.9 KB,1.318454936
Canonical Huffman,obj2.dat,241.0 KB,189.8 KB,1.269906769
Canonical Huffman,ooffice.dat,5.9 MB,4.9 MB,1.200491655
Canonical Huffman,osdb.dat,9.6 MB,8.0 MB,1.208972666
Canonical Huffman,paper1.dat,51.9 KB,32.8 KB,1.582360995
Canonical Huffman,paper2.dat,80.3 KB,46.8 KB,1.716986256
Canonical Huffman,pic.dat,501.2 KB,104.3 KB,4.804898372
Canonical Huffman,progc.dat,38.7 KB,25.6 KB,1.51342987
Canonical Huffman,progl.dat,70.0 KB,42.2 KB,1.656861385
Canonical Huffman,progp.dat,48.2 KB,29.8 KB,1.620418075
