Program, File, Original Size, Compressed Size, Compression Ratio, Time, Nerdy Time
Jasmine Rice,alice29.txt,148.5 KB,39.5 KB,3.764579207920792,212 ms,212
Jasmine Rice,asyoulik.txt,126.3 KB,33.5 KB,3.764550033481818,176 ms,176
Jasmine Rice,bib.dat,114.8 KB,30.5 KB,3.7645739910313902,159 ms,159
Jasmine Rice,book1.dat,750.8 KB,199.4 KB,3.764665266127018,787 ms,787
Jasmine Rice,book2.dat,611.8 KB,162.5 KB,3.764692450063697,662 ms,662
Jasmine Rice,cp.html,24.7 KB,6.6 KB,3.76386404293381,71 ms,71
Jasmine Rice,dickens.dat,9.7 MB,2.6 MB,3.764705143628371,13.42 s,13042
Jasmine Rice,fields.c,11.3 KB,3.0 KB,3.7637309067273317,830 ms,830
Jasmine Rice,geo.dat,100.0 KB,26.6 KB,3.7645674791367965,232 ms,232
Jasmine Rice,grammar.lsp,3.7 KB,1015 B,3.7586206896551726,193 ms,193
Jasmine Rice,kennedy.xls,1005.6 KB,267.1 KB,3.7646886779001707,1.101 s,1101
Jasmine Rice,lcet10.txt,416.8 KB,110.7 KB,3.7646571040420613,791 ms,791
Jasmine Rice,mr.dat,9.5 MB,2.5 MB,3.764703128227144,12.536 s,12536
Jasmine Rice,news.dat,378.1 KB,100.4 KB,3.764650972842099,970 ms,970
Jasmine Rice,obj1.dat,21.0 KB,5.6 KB,3.764046910554875,225 ms,225
Jasmine Rice,obj2.dat,241.0 KB,64.0 KB,3.7646466649379966,957 ms,957
Jasmine Rice,ooffice.dat,5.9 MB,1.6 MB,3.7647035786209204,9.641 s,9641
Jasmine Rice,osdb.dat,9.6 MB,2.6 MB,3.7647042136071858,13.61 s,13061
Jasmine Rice,paper1.dat,53.1 KB,14.1 KB,3.7641646489104117,448 ms,448
Jasmine Rice,paper2.dat,82.0 KB,21.8 KB,3.7645211930926217,778 ms,778
Jasmine Rice,pic.dat,501.2 KB,133.1 KB,3.764678266482791,858 ms,858
